question,answer,category,article_reference,source,year_passed
Is censorship allowed in Cameroon? (variation 3),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 4),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 5),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 6),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 7),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 8),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 9),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 10),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 11),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 12),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 13),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 14),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 15),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 16),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 17),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 18),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 19),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 20),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 21),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 22),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 23),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 24),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 25),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 26),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 27),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 28),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 29),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 30),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 31),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 32),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 33),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 34),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 35),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 36),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 37),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 38),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 39),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 40),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 41),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 42),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 43),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 44),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 45),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 46),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 47),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 48),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 49),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is censorship allowed in Cameroon? (variation 50),"Censorship is discouraged, but the government can suspend outlets threatening national security.",Press Freedom,Varies,Cameroon Constitution / National Laws,1990
Is capital punishment legal in Cameroon? (version 1),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 2),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 3),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 4),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 5),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 6),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 7),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 8),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 9),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 10),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 11),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 12),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 13),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 14),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 15),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 16),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 17),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 18),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 19),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 20),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 21),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 22),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 23),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 24),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 25),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 26),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 27),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 28),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 29),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 30),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 31),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 32),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 33),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 34),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 35),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 36),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 37),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 38),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 39),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 40),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 41),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 42),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 43),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 44),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 45),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 46),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 47),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 48),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 49),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 50),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 51),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 52),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 53),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 54),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 55),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 56),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 57),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 58),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 59),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 60),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 61),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 62),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 63),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 64),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 65),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 66),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 67),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 68),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 69),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 70),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 71),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 72),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 73),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 74),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 75),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 76),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 77),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 78),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 79),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 80),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 81),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 82),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 83),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 84),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 85),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 86),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 87),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 88),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 89),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 90),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 91),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 92),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 93),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 94),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 95),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 96),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 97),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 98),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 99),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 100),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 101),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 102),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 103),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 104),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 105),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 106),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 107),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 108),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 109),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 110),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 111),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 112),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 113),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 114),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 115),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 116),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 117),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 118),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 119),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 120),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 121),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 122),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
What are the penalties for theft under Cameroonian law? (version 123),"The Penal Code imposes imprisonment from 2 to 10 years for theft, depending on severity.",Criminal Law,Varies,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 124),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
Is capital punishment legal in Cameroon? (version 125),"Yes, but it is rarely applied. It exists in the Penal Code for specific crimes.",Criminal Law,Penal Code,National Law / Official Gazette,2016
